Run,Program Version,User,Time Started (UTC),Time Finished (UTC),Minutes Spent,Position,Points,testing question? (8vufenf),"Have you noticed surveillance technologies in your neighborhood that were installed by the government, police, or private businesses (not personal home cameras like Ring or Nest)? (lw3083d)",What is your ZIP code? (7bepp7b),participantID,assignmentID,projectID,startedAt,computerCountry,computerID,device,Which of the following surveillance tools have you heard of or seen in your city? (Select all that apply) (8dl9hmt),"How concerned are you about surveillance technology in public spaces like streets, sidewalks, or public transit? (n15scu9)",How often do you notice surveillance cameras or sensors in your neighborhood or daily routine? (6itkmu),How familiar are you with how automatic license plate reader (ALPR) cameras work? (724al0n),"After being approved by local governments, private companies like Flock Safety install Automatic License Plate Reader (ALPR) cameras in neighborhoods and share data with police. Before today, how aware were you of that fact? (50mnfkf)","In some Bay Area cities, Automatic License Plate Reader (ALPR) cameras store an image of your license plate, vehicle make and model, and location in a searchable database for up to 12 months every time you drive past one. Before today, how aware were you of that fact? (6s6r3ex)","Police can search the Automatic License Plate Reader (ALPR) database for your data without a warrant or approval from any other organization. Before today, how aware were you of that fact? (zke2ete)","Police can legally share your license plate Automatic License Plate Reader (ALPR) data with other local governments/police departments within California at any time without a warrant. Before today, how aware were you of that fact? (skzr4a8)","The image above shows locations and number of Automatic License Plate Reader (ALPR) cameras in the Bay Area reported by residents. Actual locations and counts may vary, but there is likely to be more installed than shown in the image. Before today, how aware were you of the number of ALPR cameras in the Bay Area? (3eg0nl6)",How supportive are you of Automatic License Plate Reader (ALPR) cameras installed by local governments and used by law enforcement? (y7ka0mc),How supportive are you of private individuals or businesses installing Automatic License Plate Reader (ALPR) cameras and sharing the data voluntarily with police? (uktyzgu),Have you ever felt uncomfortable or treated unfairly due to surveillance technology? (5bdjc2c),"veiHow concerned are you that surllance technologies may harm others (e.g., unhoused people, immigrants, protesters), even if they don’t affect you personally? (gvrrsub)",Do you believe surveillance is being used more for public safety or social control? (cfu4j56),Which of the following groups should have access to surveillance data? (Select all that apply) (bgnrn84),Who do you trust to make decisions about how surveillance is used in your city? (Select all that apply) (w02ux9i),How important is it to you that the public has input or oversight before new surveillance technologies are adopted? (ttzmqna),"How likely do you think it is that police would share Automatic License Plate Reader (ALPR) data with federal agencies, even if not legally allowed? (gnnu4ft)",It’s okay for police to track and store the location data of people who haven’t done anything wrong. (nd9oynf),"Surveillance technologies such as ALPRs disproportionately impact marginalized communities (e.g., by race, income, housing status, or immigration status)? (f1j1olu)",Surveillance technologies such as ALPRs increase public safety. (u84m4pd),What should be done about ALPRs in your city? Select all that apply (vwzlz5r),What is your race or ethnicity? (Select all that apply) (d8morv7),How did you find this survey? (yyxwhnl),age,gender,education,yearOfBirth,educationScore,politicalViews,householdIncome,femaleAs1MaleAs0,politicalLiberalness,householdIncomeScore,householdIncomeEstimate,How did surveillance make you feel or impact you? (urjiu1g),How concerned are you about local Automatic License Plate Reader (ALPR) data being shared with federal agencies like ICE or the FBI? (izclv6s),The San Francisco Standard recently reported that the San Francisco and Oakland Police Departments shared Automatic License Plate Reader (ALPR) data with federal agencies like ICE — in violation of state law. How concerned does this make you feel? (dgwct6r)
16225171,39,,2025-08-07 1:23:25,,3.63,7h99xur,0,,Yes,94086,pab2ca6c3,pfca9c159,pffe2652f,2025/08/06 6:21 PM,United States,9a03f886201ff9015cd5c2a4b7e59180e80daaca,smartphone,"Surveillance/security cameras,Automatic License Plate Readers (ALPRs),Drones,Speed Cameras",5 = Extremely concerned,5 = All the time,3 = Somewhat familiar,1 = Not at all aware,1 = Not at all aware,2 = Slightly aware,1 = Not at all aware,1 = Not at all aware,1 = Strongly oppose,1 = Strongly oppose,Not sure,5 = Extremely concerned,4 = Mostly for social control,Police,Community members,5 = Absolutely essential,5 = Very likely,1 = Strongly disagree,5 = Strongly agree,2 = Somewhat disagree,"Reduce use,Require more safeguards (e.g., limits on use, access, or retention),Require more transparency,Require public approval",Asian or Pacific Islander,App,59,female,completedAssociateDegreeOnly,1966,4,Very liberal,"$25,000 to $39,999",1,2,2,32500,,5 = Extremely concerned,5 = Extremely concerned
16225182,39,,2025-08-07 1:25:12,,7.87,7h99xur,0,,Yes,95121,pbf656127,pbb0fa204,pffe2652f,2025/08/06 6:24 PM,United States,04203eb9e510f1eb6c1191881b3b5fba321b6d0d,desktop,"Surveillance/security cameras,Drones,Facial recognition technology,Speed Cameras",4 = Very concerned,4 = Often,5 = Extremely familiar,4 = Very aware,5 = Fully aware,4 = Very aware,5 = Fully aware,5 = Fully aware,2 = Somewhat oppose,3 = Neutral / Not sure,Yes,3 = Moderately concerned,4 = Mostly for social control,Private companies,Police department,3 = Moderately important,4 = Likely,3 = Neutral,4 = Somewhat agree,4 = Somewhat agree,"Reduce use,Require more transparency","Hispanic or Latino,White",fivesurveys,42,male,completedTradeTechicalVocationalTraing,1983,3,Liberal,"$115,000 to $149,999",0,1,6,132500,Just pretty bad overall I would have to say at the moment.,3 = Moderately concerned,4 = Very concerned
16225213,39,,2025-08-07 1:32:03,,4.35,7h99xur,0,,Yes,94105,pafa5c5ef,pcfae9fe3,pffe2652f,2025/08/06 6:30 PM,United States,944f19f5776d24e4e7907c2cdbeb006529b88e02,smartphone,"Surveillance/security cameras,Speed Cameras",1 = Not at all concerned,3 = Sometimes,2 = Slightly familiar,1 = Not at all aware,1 = Not at all aware,1 = Not at all aware,2 = Slightly aware,2 = Slightly aware,3 = Neutral / Not sure,2 = Somewhat oppose,No,4 = Very concerned,3 = Equally both,Police,Community members,2 = Slightly important,3 = Unsure,2 = Somewhat disagree,4 = Somewhat agree,4 = Somewhat agree,"Require more safeguards (e.g., limits on use, access, or retention),Require more transparency,Require public approval",Asian or Pacific Islander,Qwee,35,female,completedBachelorsDegree,1990,5,Liberal,"$85,000 to $114,999",1,1,5,100000,,5 = Extremely concerned,5 = Extremely concerned
16225229,39,,2025-08-07 1:35:12,,4.02,7h99xur,0,,Not sure,94578,pd2a72e82,pccbe8430,pffe2652f,2025/08/06 6:34 PM,United States,bfbf70f84cec1b67d27a3043bc6eb3336a5cfd7d,smartphone,"Surveillance/security cameras,Drones,Speed Cameras",3 = Moderately concerned,4 = Often,3 = Somewhat familiar,1 = Not at all aware,1 = Not at all aware,1 = Not at all aware,1 = Not at all aware,1 = Not at all aware,1 = Strongly oppose,1 = Strongly oppose,Not sure,5 = Extremely concerned,5 = Entirely for social control,No one — it shouldn’t be collected,"Community organizations,Community members",5 = Absolutely essential,5 = Very likely,1 = Strongly disagree,5 = Strongly agree,1 = Strongly disagree,"Reduce use,Require more safeguards (e.g., limits on use, access, or retention),Require public approval",Black or African American,Qmee,35,female,completedTradeTechicalVocationalTraing,1990,3,Liberal,"$85,000 to $114,999",1,1,5,100000,,5 = Extremely concerned,5 = Extremely concerned
16225245,39,,2025-08-07 1:39:14,,3.73,7h99xur,0,,No,95008,pfecab3f5,pf5500414,pffe2652f,2025/08/06 6:37 PM,United States,97926fb2e4f17d34b1183fa28a35bc6c05f4bc89,tablet,"Surveillance/security cameras,Drones",2 = Slightly concerned,4 = Often,1 = Not at all familiar,1 = Not at all aware,1 = Not at all aware,1 = Not at all aware,1 = Not at all aware,1 = Not at all aware,2 = Somewhat oppose,2 = Somewhat oppose,Yes,4 = Very concerned,5 = Entirely for social control,No one — it shouldn’t be collected,"Community organizations,Community members",2 = Slightly important,4 = Likely,1 = Strongly disagree,4 = Somewhat agree,3 = Neutral,"Reduce use,Require more transparency,Require public approval","Asian or Pacific Islander,White",TikTok,25,female,completedOnlyHighSchoolOrTheEquivalent,2000,2,Liberal,"$200,000 or more",1,1,8,225000,Made me feel uncomfortable.,4 = Very concerned,4 = Very concerned
16225279,39,,2025-08-07 1:49:22,,4.92,7h99xur,0,,No,94708,pc112113f,pb83b1972,pffe2652f,2025/08/06 6:45 PM,United States,0f5ddf7993baefef91fa3a9a1b0a476c401cc40b,tablet,"Surveillance/security cameras,Automatic License Plate Readers (ALPRs),Drones,Speed Cameras",3 = Moderately concerned,3 = Sometimes,3 = Somewhat familiar,4 = Very aware,1 = Not at all aware,1 = Not at all aware,1 = Not at all aware,1 = Not at all aware,1 = Strongly oppose,1 = Strongly oppose,Not sure,4 = Very concerned,4 = Mostly for social control,No one — it shouldn’t be collected,Local elected officials,4 = Very important,5 = Very likely,1 = Strongly disagree,5 = Strongly agree,2 = Somewhat disagree,Ban them,Asian or Pacific Islander,Friend,84,female,completedBachelorsDegree,1941,5,Liberal,"$150,000 to $199,999",1,1,7,175000,,5 = Extremely concerned,5 = Extremely concerned
16225318,39,,2025-08-07 2:00:46,,9.9,7h99xur,0,,Yes,94102,pcdb7f84a,pbf7b1963,pffe2652f,2025/08/06 6:58 PM,United States,ddc22f2e2675c3a8c9fe031fcbff021f2b9a881a,smartphone,"Surveillance/security cameras,Drones,ShotSpotter or gunshot detection,Speed Cameras",5 = Extremely concerned,3 = Sometimes,1 = Not at all familiar,1 = Not at all aware,1 = Not at all aware,4 = Very aware,4 = Very aware,4 = Very aware,3 = Neutral / Not sure,1 = Strongly oppose,No,4 = Very concerned,1 = Entirely for public safety,"Police,Local government,Federal Government","Local elected officials,Police department,Community organizations",4 = Very important,2 = Unlikely,1 = Strongly disagree,4 = Somewhat agree,3 = Neutral,Ban them,Asian or Pacific Islander,PrizeRebel,42,male,completedBachelorsDegree,1983,5,Very liberal,"$85,000 to $114,999",0,2,5,100000,,5 = Extremely concerned,5 = Extremely concerned
16225345,39,,2025-08-07 2:08:48,,5.72,7h99xur,0,,Yes,94801,pa9ac92a0,pf1037bb7,pffe2652f,2025/08/06 7:05 PM,United States,24c9cc77415389cb83b4cebd5b7596677b3164eb,smartphone,"Surveillance/security cameras,Drones,Speed Cameras",3 = Moderately concerned,3 = Sometimes,3 = Somewhat familiar,3 = Somewhat aware,3 = Somewhat aware,3 = Somewhat aware,3 = Somewhat aware,2 = Slightly aware,4 = Somewhat support,2 = Somewhat oppose,Yes,3 = Moderately concerned,4 = Mostly for social control,"Police,Local government,Federal Government","Local elected officials,Police department",3 = Moderately important,4 = Likely,3 = Neutral,3 = Neutral,3 = Neutral,"Reduce use,Require public approval",Black or African American,Survey,48,female,completedAssociateDegreeOnly,1977,4,Moderate,"$25,000 to $39,999",1,0,2,32500,I believe that having surveillance impacts me because it exposes my personal information such as address and license information,3 = Moderately concerned,2 = Slightly concerned
16225453,39,,2025-08-07 2:32:58,,1.53,7h99xur,0,,Yes,95360,pc9db75be,pa9856f85,pffe2652f,2025/08/06 7:29 PM,United States,799404c2337ff26c35ad06fe34c2425f8752197e,smartphone,Surveillance/security cameras,3 = Moderately concerned,3 = Sometimes,3 = Somewhat familiar,1 = Not at all aware,2 = Slightly aware,4 = Very aware,2 = Slightly aware,3 = Somewhat aware,3 = Neutral / Not sure,3 = Neutral / Not sure,No,3 = Moderately concerned,4 = Mostly for social control,Private companies,Community members,2 = Slightly important,2 = Unlikely,4 = Somewhat agree,3 = Neutral,4 = Somewhat agree,"Require more transparency,Increase use",Native American or Indigenous,Instagram,25,female,completedOnlyHighSchoolOrTheEquivalent,2000,2,Moderate,"Less than $9,999",1,0,0,4500,,2 = Slightly concerned,3 = Moderately concerned
16225569,39,,2025-08-07 2:55:31,,1.03,7h99xur,0,,Yes,94591,pc4d10398,pbe928a73,pffe2652f,2025/08/06 7:53 PM,United States,dd752cdddfc65653f8aa68c431f93f891db0b586,smartphone,"Surveillance/security cameras,Drones",3 = Moderately concerned,3 = Sometimes,4 = Very familiar,2 = Slightly aware,3 = Somewhat aware,4 = Very aware,3 = Somewhat aware,3 = Somewhat aware,4 = Somewhat support,2 = Somewhat oppose,Not sure,3 = Moderately concerned,3 = Equally both,"Local government,Federal Government",Police department,3 = Moderately important,3 = Unsure,4 = Somewhat agree,2 = Somewhat disagree,4 = Somewhat agree,"Require more safeguards (e.g., limits on use, access, or retention),Require public approval","Black or African American,Asian or Pacific Islander",Friend,43,male,completedBachelorsDegree,1982,5,Liberal,"$85,000 to $114,999",0,1,5,100000,,3 = Moderately concerned,2 = Slightly concerned
16225577,39,,2025-08-07 2:56:38,,5.83,7h99xur,0,,No,04-43,pd5a6a723,pc2c6a94b,pffe2652f,2025/08/06 7:53 PM,United States,10f918dd7e77128c658db465b608aa750cb71038,desktop,Surveillance/security cameras,2 = Slightly concerned,3 = Sometimes,1 = Not at all familiar,2 = Slightly aware,1 = Not at all aware,1 = Not at all aware,1 = Not at all aware,1 = Not at all aware,4 = Somewhat support,4 = Somewhat support,No,2 = Slightly concerned,3 = Equally both,"Police,Local government",Police department,3 = Moderately important,4 = Likely,3 = Neutral,2 = Somewhat disagree,4 = Somewhat agree,"Require more transparency,Require public approval",White,email,66,male,completedOnlyHighSchoolOrTheEquivalent,1959,2,Moderate,"$200,000 or more",0,0,8,225000,,2 = Slightly concerned,2 = Slightly concerned
16225814,39,,2025-08-07 3:45:52,,7.33,7h99xur,0,,Yes,94089,pdcaffd03,pca069d81,pffe2652f,2025/08/06 8:42 PM,United States,5da118a27039429615dfa05c2453f681ccd493af,smartphone,"Surveillance/security cameras,ShotSpotter or gunshot detection,Speed Cameras",1 = Not at all concerned,3 = Sometimes,3 = Somewhat familiar,5 = Fully aware,3 = Somewhat aware,2 = Slightly aware,1 = Not at all aware,1 = Not at all aware,3 = Neutral / Not sure,1 = Strongly oppose,No,2 = Slightly concerned,2 = Mostly for public safety,Police,Police department,3 = Moderately important,3 = Unsure,2 = Somewhat disagree,3 = Neutral,4 = Somewhat agree,"Require more safeguards (e.g., limits on use, access, or retention),Require more transparency",White,Market research surveys,61,female,completedBachelorsDegree,1964,5,Moderate,"$115,000 to $149,999",1,0,6,132500,,5 = Extremely concerned,5 = Extremely concerned
16225816,39,,2025-08-07 3:46:24,,3.03,7h99xur,0,,Yes,95129,pac63943f,pcb66878f,pffe2652f,2025/08/06 8:44 PM,United States,17f700e214744499efe537e5fa58ba2a95c9ecae,smartphone,"Surveillance/security cameras,Drones,ShotSpotter or gunshot detection,Speed Cameras",2 = Slightly concerned,4 = Often,5 = Extremely familiar,5 = Fully aware,5 = Fully aware,5 = Fully aware,5 = Fully aware,4 = Very aware,3 = Neutral / Not sure,1 = Strongly oppose,Yes,5 = Extremely concerned,2 = Mostly for public safety,"Police,Federal Government",Police department,5 = Absolutely essential,5 = Very likely,1 = Strongly disagree,3 = Neutral,4 = Somewhat agree,"Require more safeguards (e.g., limits on use, access, or retention),Require more transparency,Require public approval",White,Positly,26,female,completedBachelorsDegree,1999,5,Moderate,"$40,000 to $59,999",1,0,3,50000,It makes me feel like I’m being watched too much,1 = Not at all concerned,4 = Very concerned
16225840,39,,2025-08-07 3:51:33,,8.2,7h99xur,0,,No,94551,pc8529e60,pcefdfb3c,pffe2652f,2025/08/06 8:48 PM,United States,6ac573bf22a0686ca7a19a0a02c1b017e2da0928,smartphone,"Surveillance/security cameras,Automatic License Plate Readers (ALPRs),Drones,Facial recognition technology,ShotSpotter or gunshot detection,Speed Cameras",1 = Not at all concerned,1 = Never,3 = Somewhat familiar,2 = Slightly aware,1 = Not at all aware,1 = Not at all aware,1 = Not at all aware,1 = Not at all aware,3 = Neutral / Not sure,3 = Neutral / Not sure,No,2 = Slightly concerned,4 = Mostly for social control,No one — it shouldn’t be collected,I don’t trust anyone,3 = Moderately important,5 = Very likely,1 = Strongly disagree,1 = Strongly disagree,1 = Strongly disagree,"Require more safeguards (e.g., limits on use, access, or retention),Require more transparency,Require public approval",White,Pch,63,male,completedBachelorsDegree,1962,5,Conservative,"$150,000 to $199,999",0,-1,7,175000,,4 = Very concerned,4 = Very concerned
16225874,39,,2025-08-07 4:01:03,,8.08,7h99xur,0,,Yes,94521,pbed7cbfc,pa87d3483,pffe2652f,2025/08/06 8:59 PM,United States,c4f150d026f7532b8e6aad2d06c7868aef2b7a16,smartphone,"Surveillance/security cameras,Automatic License Plate Readers (ALPRs),Drones,Speed Cameras",4 = Very concerned,4 = Often,3 = Somewhat familiar,4 = Very aware,5 = Fully aware,5 = Fully aware,5 = Fully aware,5 = Fully aware,5 = Strongly support,5 = Strongly support,Yes,5 = Extremely concerned,5 = Entirely for social control,Police,Police department,5 = Absolutely essential,4 = Likely,1 = Strongly disagree,5 = Strongly agree,4 = Somewhat agree,Require public approval,White,Qmee,47,female,completedOnlyHighSchoolOrTheEquivalent,1978,2,Liberal,"$40,000 to $59,999",1,1,3,50000,It feels violating. But I understand,2 = Slightly concerned,4 = Very concerned
16225904,39,,2025-08-07 4:09:00,,6.28,7h99xur,0,,Yes,97214,pdacc1f71,pc568b2dd,pffe2652f,2025/08/06 9:04 PM,United States,5c180065e852a75b1e19fa9420a4e7b955b07630,smartphone,Speed Cameras,4 = Very concerned,4 = Often,3 = Somewhat familiar,3 = Somewhat aware,2 = Slightly aware,2 = Slightly aware,1 = Not at all aware,1 = Not at all aware,1 = Strongly oppose,1 = Strongly oppose,Not sure,2 = Slightly concerned,3 = Equally both,,,4 = Very important,3 = Unsure,1 = Strongly disagree,3 = Neutral,3 = Neutral,Require public approval,White,Online,70,male,completedOnlyHighSchoolOrTheEquivalent,1955,2,Conservative,"$115,000 to $149,999",0,-1,6,132500,,2 = Slightly concerned,4 = Very concerned
16225923,39,,2025-08-07 4:12:32,,3.38,ovp1iqx,0,,Not sure,,pcba4f71f,pf19808d2,pffe2652f,2025/08/06 9:07 PM,United States,fd09e427ff8e377940bc75336034438eafa5f88f,smartphone,Surveillance/security cameras,3 = Moderately concerned,3 = Sometimes,1 = Not at all familiar,1 = Not at all aware,3 = Somewhat aware,2 = Slightly aware,2 = Slightly aware,2 = Slightly aware,3 = Neutral / Not sure,2 = Somewhat oppose,Not sure,2 = Slightly concerned,2 = Mostly for public safety,Police,Police department,2 = Slightly important,3 = Unsure,,,,,,,23,female,nurseryTo8thGrade,2002,1,Liberal,"$10,000 to $24,999",1,1,1,17500,,3 = Moderately concerned,
16226004,39,,2025-08-07 4:33:23,,4.5,7h99xur,0,,Not sure,95008,pc61c4b13,pf44cacd5,pffe2652f,2025/08/06 9:30 PM,United States,63b150cc67c6488957bbb0e18d05f5f494988766,desktop,"Surveillance/security cameras,Drones,Speed Cameras",4 = Very concerned,3 = Sometimes,2 = Slightly familiar,4 = Very aware,1 = Not at all aware,1 = Not at all aware,2 = Slightly aware,1 = Not at all aware,3 = Neutral / Not sure,1 = Strongly oppose,No,4 = Very concerned,2 = Mostly for public safety,Police,Local elected officials,4 = Very important,5 = Very likely,4 = Somewhat agree,3 = Neutral,4 = Somewhat agree,"Require more safeguards (e.g., limits on use, access, or retention),Require more transparency,Require public approval",,Publishers Clearing House,58,male,completedAssociateDegreeOnly,1967,4,Moderate,"$40,000 to $59,999",0,0,3,50000,,5 = Extremely concerned,5 = Extremely concerned
16226033,39,,2025-08-07 4:40:09,,8.23,7h99xur,0,,Yes,95688,pdc843b9f,pd49cf437,pffe2652f,2025/08/06 9:37 PM,United States,2aac7e5e7df60cbfc76088c9219b20ca3f5b7c55,smartphone,"Surveillance/security cameras,Automatic License Plate Readers (ALPRs),Drones,Facial recognition technology,Speed Cameras",3 = Moderately concerned,4 = Often,3 = Somewhat familiar,4 = Very aware,3 = Somewhat aware,4 = Very aware,4 = Very aware,4 = Very aware,3 = Neutral / Not sure,3 = Neutral / Not sure,Not sure,2 = Slightly concerned,2 = Mostly for public safety,"Police,Local government,Federal Government","Local elected officials,Police department",4 = Very important,3 = Unsure,3 = Neutral,3 = Neutral,4 = Somewhat agree,"Require more safeguards (e.g., limits on use, access, or retention),Require public approval",White,Dave app,32,female,completedOnlyHighSchoolOrTheEquivalent,1993,2,Moderate,"Less than $9,999",1,0,0,4500,,2 = Slightly concerned,4 = Very concerned
16226131,39,,2025-08-07 5:08:06,,0.67,8dl9hmt,0,,Yes,,pc7e4842c,pfa140c10,pffe2652f,2025/08/06 10:05 PM,United States,c037bca152e1f6819e5819e2733bd2ac5f90636b,smartphone,,,,,,,,,,,,,,,,,,,,,,,,,33,male,completedOnlyHighSchoolOrTheEquivalent,1992,2,Liberal,"$10,000 to $24,999",0,1,1,17500,,,
16226191,39,,2025-08-07 5:22:37,,7.33,7h99xur,0,,Yes,94608,pf40c94cd,pb71ae950,pffe2652f,2025/08/06 10:16 PM,United States,c94dfebe86acffd2f7295db9f6e8ece6c28135de,smartphone,"Surveillance/security cameras,Automatic License Plate Readers (ALPRs),ShotSpotter or gunshot detection,Speed Cameras",3 = Moderately concerned,4 = Often,3 = Somewhat familiar,3 = Somewhat aware,1 = Not at all aware,1 = Not at all aware,1 = Not at all aware,2 = Slightly aware,3 = Neutral / Not sure,2 = Somewhat oppose,No,3 = Moderately concerned,2 = Mostly for public safety,Police,Police department,4 = Very important,5 = Very likely,1 = Strongly disagree,4 = Somewhat agree,4 = Somewhat agree,"Require more safeguards (e.g., limits on use, access, or retention),Require more transparency,Require public approval",Black or African American,Friend,55,male,completedAssociateDegreeOnly,1970,4,Moderate,"$10,000 to $24,999",0,0,1,17500,,4 = Very concerned,4 = Very concerned
16226223,39,,2025-08-07 5:31:03,,4.13,7h99xur,0,,Not sure,95076,pa405618e,pb8ac1c5c,pffe2652f,2025/08/06 10:28 PM,United States,81ebddb77e7c2ec9d8832694d76bdae65563989a,smartphone,"Surveillance/security cameras,Drones",1 = Not at all concerned,3 = Sometimes,1 = Not at all familiar,1 = Not at all aware,1 = Not at all aware,1 = Not at all aware,1 = Not at all aware,1 = Not at all aware,2 = Somewhat oppose,2 = Somewhat oppose,Not sure,5 = Extremely concerned,5 = Entirely for social control,No one — it shouldn’t be collected,Community members,2 = Slightly important,1 = Very unlikely,1 = Strongly disagree,3 = Neutral,3 = Neutral,"Ban them,Reduce use",Hispanic or Latino,tiktok,19,female,completedOnlyHighSchoolOrTheEquivalent,2006,2,Very conservative,"Less than $9,999",1,-2,0,4500,,5 = Extremely concerned,5 = Extremely concerned
16226249,39,,2025-08-07 5:39:10,,1.88,7h99xur,0,,No,94118,pd351f413,pae057198,pffe2652f,2025/08/06 10:36 PM,United States,2ce65dbff999eb80f9ab6162615461160e3b4d03,smartphone,Speed Cameras,2 = Slightly concerned,2 = Rarely,2 = Slightly familiar,2 = Slightly aware,2 = Slightly aware,2 = Slightly aware,3 = Somewhat aware,2 = Slightly aware,4 = Somewhat support,2 = Somewhat oppose,Yes,3 = Moderately concerned,3 = Equally both,Local government,Police department,4 = Very important,4 = Likely,2 = Somewhat disagree,3 = Neutral,2 = Somewhat disagree,Require more transparency,White,Friend,55,male,completedBachelorsDegree,1970,5,Moderate,"$150,000 to $199,999",0,0,7,175000,Creepy,3 = Moderately concerned,2 = Slightly concerned
16226255,39,,2025-08-07 5:40:38,,0,gsf76i9,0,,,,pb33ec042,pca8a19f4,pffe2652f,2025/08/06 10:33 PM,United States,91c671632539d6da42c9977ffb260ef94969f28b,desktop,,,,,,,,,,,,,,,,,,,,,,,,,78,female,completedBachelorsDegree,1947,5,Liberal,"$115,000 to $149,999",1,1,6,132500,,,
16226288,39,,2025-08-07 5:47:54,,6.12,7h99xur,0,,Yes,94122,pa75fc1f7,pc58b3919,pffe2652f,2025/08/06 10:43 PM,United States,b760e55cf88c4145e856f8c9889f3a00539557e6,smartphone,"Surveillance/security cameras,Drones,Speed Cameras",3 = Moderately concerned,3 = Sometimes,1 = Not at all familiar,1 = Not at all aware,1 = Not at all aware,1 = Not at all aware,2 = Slightly aware,1 = Not at all aware,3 = Neutral / Not sure,1 = Strongly oppose,No,4 = Very concerned,3 = Equally both,No one — it shouldn’t be collected,Community members,5 = Absolutely essential,5 = Very likely,1 = Strongly disagree,1 = Strongly disagree,2 = Somewhat disagree,"Reduce use,Require more safeguards (e.g., limits on use, access, or retention),Require public approval",White,Branded Surveys,68,female,completedTradeTechicalVocationalTraing,1957,3,Liberal,"$40,000 to $59,999",1,1,3,50000,,4 = Very concerned,5 = Extremely concerned
16226323,39,,2025-08-07 5:55:43,,9.07,7h99xur,0,,No,94134,pb1740188,pab359e9a,pffe2652f,2025/08/06 10:54 PM,United States,77d9ed7136ebd10eee84cff8dd8fb009843a8f77,smartphone,"Surveillance/security cameras,Automatic License Plate Readers (ALPRs),Speed Cameras",2 = Slightly concerned,2 = Rarely,3 = Somewhat familiar,1 = Not at all aware,1 = Not at all aware,1 = Not at all aware,1 = Not at all aware,3 = Somewhat aware,2 = Somewhat oppose,4 = Somewhat support,No,3 = Moderately concerned,3 = Equally both,"Police,Federal Government","Local elected officials,Police department",4 = Very important,4 = Likely,1 = Strongly disagree,1 = Strongly disagree,4 = Somewhat agree,"Require more safeguards (e.g., limits on use, access, or retention),Require more transparency,Require public approval",White,Attapoll,34,male,completedBachelorsDegree,1991,5,Liberal,"$85,000 to $114,999",0,1,5,100000,,2 = Slightly concerned,3 = Moderately concerned
16226452,39,,2025-08-07 6:39:24,,22.35,7h99xur,0,,Yes,94122,pf7b35181,pbcf519db,pffe2652f,2025/08/06 11:35 PM,United States,299a4d0588962284c0edf9744a7be84dff0c9679,desktop,"Automatic License Plate Readers (ALPRs),Speed Cameras",1 = Not at all concerned,3 = Sometimes,2 = Slightly familiar,2 = Slightly aware,2 = Slightly aware,2 = Slightly aware,2 = Slightly aware,2 = Slightly aware,4 = Somewhat support,3 = Neutral / Not sure,No,2 = Slightly concerned,2 = Mostly for public safety,"Police,Local government","Local elected officials,Police department",3 = Moderately important,3 = Unsure,2 = Somewhat disagree,3 = Neutral,4 = Somewhat agree,"Require more safeguards (e.g., limits on use, access, or retention),Keep things as they are",White,Friend,79,male,completedMastersDegree,1946,6,Moderate,"$150,000 to $199,999",0,0,7,175000,,4 = Very concerned,3 = Moderately concerned
16226511,39,,2025-08-07 6:58:00,,1.9,7h99xur,0,,No,94040,pdba07d4c,pa82cb681,pffe2652f,2025/08/06 11:55 PM,United States,de51d093d0ae34cfa307c317778430605e947e0b,smartphone,,1 = Not at all concerned,1 = Never,1 = Not at all familiar,1 = Not at all aware,1 = Not at all aware,1 = Not at all aware,1 = Not at all aware,1 = Not at all aware,3 = Neutral / Not sure,3 = Neutral / Not sure,Prefer not to say,1 = Not concerned at all,3 = Equally both,No one — it shouldn’t be collected,I don't care,1 = Not important at all,3 = Unsure,3 = Neutral,3 = Neutral,3 = Neutral,I don't care,Prefer not to say,No idea,46,male,completedProfessionalDegree,1979,7,Very liberal,"$60,000 to $84,999",0,2,4,72500,,1 = Not at all concerned,1 = Not at all concerned
16226579,39,,2025-08-07 7:23:14,,2.2,7h99xur,0,,No,94066,pc5a4a4c7,pffc2ee9f,pffe2652f,2025/08/07 12:21 AM,United States,b486009d417726a08eeef589ba9d47ee9cb3606f,smartphone,"Drones,Speed Cameras",3 = Moderately concerned,2 = Rarely,4 = Very familiar,3 = Somewhat aware,3 = Somewhat aware,3 = Somewhat aware,3 = Somewhat aware,2 = Slightly aware,2 = Somewhat oppose,3 = Neutral / Not sure,No,4 = Very concerned,5 = Entirely for social control,No one — it shouldn’t be collected,Community members,3 = Moderately important,3 = Unsure,3 = Neutral,3 = Neutral,3 = Neutral,Require more transparency,Hispanic or Latino,Instagram,20,female,completedOnlyHighSchoolOrTheEquivalent,2005,2,Moderate,"$25,000 to $39,999",1,0,2,32500,,4 = Very concerned,3 = Moderately concerned
